 Da nickte er seiner Uhr zu: Dann hatte ich natürlich Hunger, nicht wahr? Und ich ging immer gleich in die Küche.	" Then he nodded to his watch: ""Of course I hungry, did not I? And I always went straight into the kitchen."
 Da war es dann fast immer halb drei.	 Then it was almost always half past three.
 Und dann, dann kam nämlich meine Mutter.	 And then, my mother came.
 Ich konnte noch so leise die Tür aufmachen, sie hat hat mich immer gehört.	 I could still open the door so softly, she always kept hearing me.
 Und wenn ich in der dunklen Küche etwas zu essen suchte, ging plötzlich das Licht an.	 And when I was looking for something to eat in the dark kitchen, suddenly the light went on.
 Dann stand sie da in ihrer Wolljacke und mit einem roten Schal um.	 Then she stood there in her woolen jacket and with a red scarf.
 Und barfuß.	 And barefoot.
 Und dabei unsere Küche gekachelt.	 And our kitchen tiled.
 Und sie machte ihre Augen ganz klein, weil ihr das Licht so hell war.	 And she made her eyes very small because her light was so bright.
 Denn sie hatte ja schon geschlafen.	 For she had already slept.
 Es war ja Nacht.	 It was night.
	
So spät wieder, sagte sie dann.	So late again, she said then.
 Mehr sagte sie nie.	 More she never said.
 Nur: So spät wieder.	 Only: So late again.
 Und dann machte sie mir das Abendbrot warm und sah zu, wie ich aß.	 And then she gave me the dinner bread and watched as I ate.
 Dabei scheuerte sie immer die Füße aneinander, weil die Kacheln so kalt waren.	 She always scrubbed her feet, because the tiles were so cold.
 Schuhe zog sie nachts nie an.	 She never put on shoes at night.
 Und sie saß so lange bei mir, bis ich satt war.	 And she sat with me until I was full.
 Und dann hörte ich sie noch die Teller wegsetzen, wenn ich in meinem Zimmer schon das Licht ausgemacht hatte.	 And then I heard her still put the plates down, if I had already made the light in my room.
 Jede Nacht war es so.	 Every night it was so.
 Und meistens immer um halb drei.	 And usually at half past three.
 Das war ganz selbstverständlich, fand ich, dass sie mir nachts um halb drei in der Küche das Essen machte.	 That was quite natural, I thought she was eating me at half past three in the kitchen.
 Ich fand das ganz selbstverständlich.	 I found this quite self-evident.
 Sie tat das ja immer.	 She always did.
 Und sie hat nie mehr gesagt als: So spät wieder.	 And she never said more than: So late again.
 Aber das sagte sie jedes Mal.	 But she said that every time.
 Und ich dachte, das könnte nie aufhören.	 And I thought this could never stop.
 Es war mir so selbstverständlich.	 It was so self-evident to me.
 das alles war doch immer so gewesen.	 All this had always been the case.
	
Einen Atemzug lang war es still auf der Bank.	For a moment, it was quiet on the bench.
 Dann sagte er leise: Und jetzt? Er sah die anderen an.	" Then he said softly: ""And now?"" He looked at the others."
 Aber er fand sie nicht.	 But he did not find it.
 Da sagte er der Uhr leise ins weißblaue runde Gesicht: Jetzt, jetzt weiß ich, dass es das Paradies war.	 Then he said to the clock softly in the white-blue face: Now, now I know that it was paradise.
 Das richtige Paradies.	 The right paradise.
 Auf der Bank war es ganz still.	 On the bench it was very quiet.
 Dann fragte die Frau: Und Ihre Familie?	 Then asked the woman: And your family?
Er lächelte sie verlegen an: Ach, sie meinen meine Eltern? ja, die sind auch mit weg.	"He smiled embarrassed at her: ""Oh, they mean my parents?"" Yes, they are also gone with."
 Alles ist weg.	 Everything is gone.
 Alles, stellen Sie sich vor.	 Everything, imagine.
 Alles weg.	 Everything gone.
	
Er lächelte verlegen von einem zum anderen.	He smiled embarrassed from one to the other.
 Aber sie sahen ihn nicht an.	 But they did not look at him.
 Da hob er wieder die Uhr hoch und lachte.	 Then he raised the clock again and laughed.
 Er lachte: Nur sie hier.	 He laughed.
 Sie ist übrig.	 She's left.
 Und das Schönste ist ja, dass sie ausgerechnet um halb drei stehen geblieben ist.	 And the most beautiful thing is that she stopped at half past three.
 Ausgerechnet um halb drei.	 Calculated at half past three.
	
Dann sagte er nichts mehr.	Then he said nothing more.
 Aber er hatte ein ganz altes Gesicht.	 But he had a very old face.
 Und der Mann, der neben ihm saß, sah au	 And the man who was sitting beside him saw a 
