Sie lachte mich aus.	She laughed at me.
Das Kind lernt schnell.	The child is learning quickly.
Das musst du wissen!	It is up to you.
Ich glaube, es reicht jetzt.	I think we have enough.
Es tut gar nicht weh.	It doesn't hurt at all.
Das würde Spaß machen.	It would be fun.
Hier war einmal eine Brücke.	At one time, there was a bridge here.
Ich verlasse mich auf Sie.	I'm depending on you.
Wann hast du Zeit?	When are you free?
Das hast du getan!	This is your doing!
Hast du das getan?	Did you do that?
Ich mag diese Kamera nicht.	I don't like this camera.
Ich kann auf euch warten.	I can wait for you.
Ich bin einsam ohne dich.	I'm lonely without you.
Ich rufe aus Boston an.	I'm calling from Boston.
Du bist nicht wirklich dumm.	You're really not stupid.
Du bist wirklich nicht dumm.	You're really not stupid.
Ich fürchte, er kommt nicht.	I am afraid he won't come.
Er zog seine Sachen aus.	He took off his clothes.
Das müssen Sie wissen!	It is up to you.
Was wollen Sie lernen?	What do you want to learn?
Ihr seid Kinder.	You are children.
Möchtest du ihn?	Do you want him?
Sehen wir uns schon früher?	Will we see each other earlier?
Ich fahre fast jeden Tag.	I drive almost every day.
Ich fahre gerne Zug.	I like to ride on trains.
Du hast es getan!	You've done it!
Sei auf der Hut vor Feuer.	Be on your guard against fire.
Mir tut alles weh.	I ache all over.
Hören Sie sich das an!	Listen to this!
Ich kann schon Auto fahren.	I already know how to drive.
Mein Wagen läuft nicht.	My car is not running.
Meine Mutter kocht gut.	My mother cooks well.
Wer hört auf?	Who's quitting?
Das Lied will ich lernen.	I want to learn that song.
Alles zu seiner Zeit.	There is a time for everything.
Was geht dort unten vor sich?	What's going on down there?
Gehört dieser Wagen Ihnen?	Does this car belong to you?!
Du arbeitest zu viel.	You work too much.
Ich habe ein großes Problem.	I have a big problem.
Sonst noch etwas, mein Herr?	Anything else, sir?
Wie kommst du zur Schule?	How do you get to school?
Wir waren wieder am Anfang.	We were back to square one.
Dies wäre besser als das.	This would be better than that.
Das Baby schläft gerade.	The baby is sleeping.
Wie heißt diese Straße?	What's this street called?
Der Junge kam zurück.	The boy came back.
Für heute reicht es.	That's enough for today.
Wer hielt an?	Who stopped?
Ich war letzte Nacht dort.	I was there last night.
Sag das ihm, nicht mir!	Tell it to him, not me!
Sie hat auch Fehler.	She has faults, too.
Wir sind am Lesen.	We're reading.
Ich habe ein eigenes Zimmer.	I have my own room.
Sie hat ihn sehr vermisst.	She missed him a lot.
Sie waren krank.	They were sick.
Boston gefällt mir nicht.	I don't like Boston.
Wann kommt sie wieder?	When is she coming back?
Sie machte ihn reich.	She made him rich.
Er hat auch eins.	He has one too.
Alle Jungen sind gleich alt.	All the boys are the same age.
Nehmen wir an, es stimmt.	Let's suppose it's true.
Es liegt in deiner Hand.	It's out of your hands.
Ich bin damit glücklich.	I’m happy with it.
Sie liegt krank im Bett.	She lies ill in bed.
Ich kenne deinen Sohn.	I know your son.
Wollen Sie das nehmen?	Do you want to take that?
Sind deine Eltern zu Hause?	Are your parents home?
Hast du das selbst getan?	Did you do this on your own?
Ich gehe in den Laden.	I go into the store.
Der Zug fährt bald ab.	The train is leaving soon.
Ich schreibe hier gerne.	I like to write here.
Setzen Sie sich, bitte.	Sit down, please.
Bitte setzen Sie sich.	Sit down, please.
Bitte setzen Sie sich!	Please sit down.
Sie schloss die Tür.	She locked the door.
Ich bin ein kleines Kind.	I'm a little child.
Soll ich den Bus nehmen?	Should I take the bus?
Er sagte, er sei arm.	He said he was poor.
Wo sind die anderen alle?	Where's everybody else?
Niemand macht es besser.	Nobody does it better.
Ihr seht nicht gut aus.	You don't look well.
Sie geht zur Schule.	She goes to school.
Bleibt, wo ihr seid.	Stay where you are.
Sie müssen tot sein.	They must be dead.
Rede mit ihm nicht darüber.	Don't talk to him about it.
Bist du verrückt?	Are you mad?
Du bist verrückt.	You are crazy.
Du bist verrückt!	You're crazy!
Das riecht gut.	That smells good.
Kein Problem, ich verstehe.	No problem, I understand.
Du bist wohl verrückt.	You must be crazy.
Man lachte über sie.	She was laughed at.
Was hat sie getan?	What has she done?
Wie tief er doch schläft.	How soundly he is sleeping!
Er hat eine lange Nase.	He has a long nose.
Ich mag Milch und Brot.	I like milk and bread.
Geht ihr Hand in Hand?	Do you walk hand in hand?
Um wie viel Uhr öffnet es?	What time does it open?
Ich fürchte mich vor nichts.	I'm not frightened of anything.
Ich verlasse mich auf dich.	I'm counting on you.
In etwa verstehe ich es.	I sort of understand.
Niemand sprach mit mir.	Nobody spoke with me.
Er will dich sprechen.	He wants to talk to you.
Ich halte einen Hund.	I keep a dog.
Mein Freund half mir.	My friend helped me.
Ich rufe dich zurück.	I'll ring you back.
Ich ziehe mich an.	I am going to get dressed.
Sie liebt Kinder.	She loves children.
Du siehst wirklich toll aus!	You really look great.
Es war keine Party.	It wasn't a party.
Muss ich nun gehen?	Do I have to go now?
Sie trat gegen die Tür.	She kicked the door.
Die Idee gefällt mir.	I love the idea.
Sie hat dir vertraut.	She trusted you.
Ich wohne bei meinen Eltern.	I live with my parents.
Ich habe dich sehr vermisst.	I missed you very much.
Sie hatte nur wenig Glück.	She had only a small fortune.
Er lebt in einem Apfel.	He lives inside an apple.
Rufe ein Taxi, das uns fährt.	Call a taxicab to take us.
Sie machte mir einen Kuchen.	She made me a cake.
Mach die Tür zu, es zieht.	Shut the door! There is a draught here!
Ich mag den Sommer nicht.	I don't like summer.
Machen Sie Ihr Spiel!	Place your bets.
Ihr habt beide recht.	Both of you are right.
Wir arbeiten mit.	We're cooperating.
Ja, mein Kind.	Yes, my child.
Ich komme um sechs zurück.	I'll be back at six.
Wie schreibt man das Wort?	How do you spell that word?
Und sie vermisst sie sehr.	And she misses them very much.
Sie liebt eine andere.	She's in love with another woman.
Sie hat nichts getan.	She hasn't done anything.
Ich mag deine Stadt.	I like your city.
Das soll wohl ein Witz sein.	You cannot be serious.
Das hängt völlig von dir ab.	It's entirely up to you.
Ich habe Lust auf ein Bier.	I feel like drinking a beer.
Ich trinke Kaffee am Morgen.	I drink coffee in the morning.
Hast du ein eigenes Zimmer?	Do you have a room of your own?
Willst du uns etwas sagen?	Is there anything you want to tell us?
Sein Haus liegt am Fluss.	His house stands by the river.
Er wurde reich.	He became rich.
Ich trinke nie.	I never drink.
Kennst du sie?	Do you know them?
Du kennst sie?	Do you know her?
Ich bin arm.	I'm poor.
Dazu kommt es nicht.	That won't happen.
Wie geht es deiner Familie?	How is your family?
Ich war damals sehr arm.	I was very poor in those days.
Er kam etwa um zwei.	He came about two.
Sie erinnert sich an nichts.	She doesn't remember anything.
Sind die von deiner Schule?	Are those guys from your school?
Er hat ein eigenes Zimmer.	He has his own room.
Bist du glücklich damit?	Are you happy with that?
Er gab seine Schuld zu.	He acknowledged his fault.
Wo wohnen Sie jetzt?	Where do you live now?
Das geht aufs Haus.	It's on the house.
Lebe und lerne.	Live and learn.
Ich war arm.	I've been poor.
Der Junge stand am Ende.	The boy stood on end.
Im Anfang war das Wort.	In the beginning was the Word.
Wir waren zuerst hier.	We were here first.
Es war ein Witz.	It was a joke.
Ich erinnere mich an alles.	I remember everything.
Was für eine hübsche Frau!	What a pretty woman!
Er erinnert sich an dich.	He remembers you.
Es war dunkel im Zimmer.	The room was dark.
Habt ihr eine Familie?	Do you have a family?
Das habe ich nicht verdient.	I don't deserve it.
Sie liebte ihn immer noch.	She still loved him.
Kennen Sie seinen Bruder?	Do you know his brother?
Er liest gerne Bücher.	He likes to read books.
Was macht euer Sohn?	What does your son do?
Ich ziehe mich aus.	I'm undressing.
Wann war das?	When was that?
Wie gefällt dir diese Stadt?	How do you like this town?
Das gehört zum Leben dazu.	It's part of life.
Was willst du uns sagen?	What do you want to tell us?
Wir sind gute Freunde.	We are good friends.
Ich kenne Ihren Sohn.	I know your son.
Ich vermisse dich.	I miss you.
Schließt bitte die Tür.	Close the door, please.
Möchtest du einen Tee?	Would you like to have some tea?
Was tust du damit?	What are you going to do with it?
Er sagte, er sei glücklich.	He said that he was happy.
Ich kann euch nicht hören.	I can't hear you.
Ich liebe dich mehr denn je.	I love you more than ever.
Müssen wir auf sie warten?	Do we need to wait for her?
Bitte komme sofort zurück.	Please come back at once.
Kann ich euch sprechen?	May I speak to you?
Bitte schaut mich an.	Please look at me.
Bitte setz dich doch.	Sit down, please.
Haben Sie kurz Zeit?	Do you have a minute?
Ich werde arbeiten.	I will work.
Warte auf Maria!	Wait for Mary.
Ich sage das die ganze Zeit.	I say it all the time.
Ich fühle mich so einsam.	I feel so lonely.
Nun, ich muss jetzt weg.	Well, I have to go now.
Ich bin sauer auf sie.	I'm angry with her.
Ich liebe dieses Spiel.	I love this game.
Es geht um einen Monat.	It's about one month.
Die Frau liest.	The woman is reading.
Magst du es?	You like it?
Sie mochte ihn von Anfang an.	She liked him right off.
Wie heißt dieses Lied?	What's the name of this tune?
Wo tut es weh?	Where does it hurt?
Hier können wir nicht reden.	We can't talk here.
Dazu hast du kein Recht.	You don't have the right.
Du hast kein Recht dazu.	You don't have the right.
Die Kiste war zu schwer.	The box was too heavy.
Sie wissen ja, wie es läuft.	You know the drill.
Mein Vater mag keine Musik.	My father does not like music.
Ich möchte mit Ihnen reden.	I want to speak with you.
Ich glaube ihm kein Stück.	I don't believe him at all.
Sie fuhr mich nach Hause.	She gave me a ride home.
Er hatte eine neue Idee.	He had a new idea.
Ich liebe diese Schule.	I love this school.
Dort liegt das Problem.	Therein lies the problem.
Er war sofort tot.	He was killed instantly.
Ich habe eine Menge Land.	I have a lot of land.
Geh mir aus den Augen!	Get out of my sight!
Möchte jemand noch Kaffee?	Would anybody like more coffee?
Mir gefällt diese Tasse.	I like this cup.
Ich höre eine Stimme.	I am hearing a voice.
Ich ziehe mich um.	I am changing my clothes.
Ich denke noch darüber nach.	I'm still thinking about it.
Ihr müsst noch viel lernen.	You still have a lot to learn.
Ich habe dich so vermisst!	I missed you so much.
So lange dauert es nicht.	It won't be that long.
Gefällt dir Englisch?	Do you like English?
Ich mag Hunde.	I like dogs.
Das sage ich doch gar nicht.	That's not what I'm saying.
Sie starrte mich an.	She stared at me.
Hast du kurz Zeit?	Do you have a minute?
Er hält nie sein Wort.	He never keeps his word.
Das Mädchen sah so blass aus.	The girl looked so pale.
Darf ich mit ihm gehen?	May I go with him?
Das hoffe ich sehr.	I really hope so.
Ich vermisse ihn.	I miss him.
Das habe ich schon versucht.	I already tried that.
Zeit, nach Hause zu gehen!	It's time to go back home.
In diesem Haus wohne ich.	This is the house I live in.
Weißt du, wo wir wohnen?	Do you know where we live?
Er zeigte mir ihr Bild.	He showed me her picture.
Willst du Kinder?	Do you want kids?
Wo warst du?	Where have you been?
Ich bin weit weg vom Baum.	I am far from the tree.
Wir werden nicht jünger.	We're not getting any younger.
Kennen Sie die Antwort?	Do you know the answer?
Sind Sie neu hier?	Are you new here?
Was bedeutet das Wort genau?	What is the precise meaning of the word?
Möchten Sie noch etwas Tee?	Will you have some more tea?
Ich brauche keine Hilfe.	I don't need any help.
Er bekam eine Vier.	He got a D.
Wie war die Party?	How did the party go?
War das ein Nein?	Was that a no?
Was möchtest du?	What do you want?
Ich habe nichts getan.	I didn't do anything.
Ich habe nichts getan!	I didn’t do anything!
Ich liebe dieses Bild.	I love this picture.
Zieht euch etwas an!	Put some clothes on.
Ich stand etwa um fünf auf.	I got up about five.
Hältst du noch etwas durch?	Can you hold on a little longer?
Ich höre jeden Abend Radio.	I listen to the radio every night.
Wir müssen es ihnen sagen.	We have to tell them.
Ihr seid beide echt nett.	You are both really kind.
Lügen Sie mich nicht an.	Don't lie to me.
Sind Sie glücklich?	Are you happy?
Sie sind glücklich.	They're happy.
Wir sollten gehen.	We should go.
Sei du selbst!	Be yourself!
Sei du selbst.	Be yourself.
Sie redet wirklich viel.	She does talk a lot.
Sie kann nicht fahren.	She can't drive.
Die Welt hasst mich.	The world hates me.
Du kommst früh nach Hause.	You're home early.
Du hast eine gute Kamera.	You have a good camera.
Er sprang aus dem Bett.	He jumped out of bed.
Hast du Zeit mir zu helfen?	Do you have time to help me?
Es hängt allein von dir ab.	It's all up to you.
Mein Bruder raucht sehr viel.	My brother smokes a great deal.
Er spricht auch Französisch.	He also speaks French.
Ich rede jeden Tag Englisch.	I speak English every day.
Es hängt ganz von Ihnen ab.	It's all up to you.
Es muss einen Weg geben.	There's got to be a way.
Ich bin sechs Fuß groß.	I am six feet tall.
Sie schrieb das Wort.	She wrote the word.
Sie kam nahe zu mir.	She came near to me.
Wo sitzt du jetzt?	Where are you sitting now?
Er hat eine gute Kamera.	He has got a good camera.
Ich bin zu allem bereit.	I'll do anything.
Darf ich das mal sehen?	Can I see that?
Könnte dies Liebe sein?	Could this be love?
Das will niemand tun.	Nobody wants to do that.
Er fragte sie, wo sie lebte.	He asked her where she lived.
Sie kann Französisch.	She can speak French.
Ich bin zu müde zum Laufen.	I am too tired to run.
Die Kiste war voller Bücher.	The box was full of books.
Ich stehe um sieben Uhr auf.	I get up at 7
Spiel nicht auf der Straße.	Don't play in the street.
Ich erwarte nichts von dir.	I don't expect anything from you.
Was schreibt ihr?	What are you writing?
Er wird schnell böse.	He easily gets angry.
Was haben Sie getan?	What have you been doing?
Das Feuer ging aus.	The fire went out.
Ich bin neu hier.	I am new here.
Ich gehe nicht und fertig.	I'm not going, and that's that.
Du bist sehr einsam.	You're very lonely.
Niemand kam mir zu Hilfe.	Nobody came to my rescue.
Er hat eine Menge Land.	He has a lot of land.
Ich bin sauer auf dich.	I'm mad at you.
Was fehlt in diesem Auto?	What is missing in this car?
Aber ich will ja lernen!	I do want to learn!
Ich brauche nur eines.	I only need one thing.
Ich lebe in Boston.	I live in Boston.
Sie starrte ihn an.	She was staring at him.
Schön für euch.	Good for you.
Gehen wir!	Let's go!
Gehen wir!	Let's go!
Wir gehen.	We're leaving.
Die Nacht war sehr still.	The night was very still.
Waren Sie alleine hier?	Were you here alone?
Sie haben dir vertraut.	They trusted you.
Das bleibt unter uns.	This is between ourselves.
Die Uhr schlug zehn.	The clock struck ten.
Das sind sehr große Äpfel.	These are very big apples.
Sie kommt vielleicht nicht.	She may not come.
Vielleicht kommt sie nicht.	She may not come.
Niemand konnte uns sehen.	No one could see us.
Mein Bruder schwimmt gut.	My brother swims well.
Er schloss die Tür.	He closed the door.
Wir müssen auf ihn warten.	We have to wait for him.
Was wollen Sie uns sagen?	What do you want to tell us?
Warum sehen Sie mich so an?	Why are you looking at me like that?
Er erinnert sich an nichts.	He doesn't remember anything.
Sie haben viele Studenten.	They have many students.
Es sind sehr große Äpfel.	They are very big apples.
Ich war lange Zeit still.	I have been silent for a long time.
Ich kann nicht fahren.	I can't drive.
Niemand lief vor ihm.	No one ran ahead of him.
Er hasst ihre Eltern.	He hates her parents.
Mach das Fenster zu!	Close the window.
Er wäscht ein Auto.	He is washing a car.
Was hast du getan?	What have you done?
Mach die Augen zu.	Close your eyes.
Wohnst du hier?	Do you live here?
Meine Katze folgt mir nach.	My cat is following me.
Er wäscht das Auto.	He is washing the car.
Hast du mal Feuer?	Do you have a light?
Hätte ich mir denken können!	I could have known.
Ich habe jede Menge Zeit.	I have lots of time.
Ich bin glücklich.	I feel happy.
Er sprang auf.	He jumped to his feet.
Kennen Sie ihren Bruder?	Do you know her brother?
Sie lieben ihre Kinder.	They love their children.
Was hat er getan?	What has he done?
Ich lese gerade die Zeitung.	I'm reading the newspaper.
Wenn du das so sagst.	Since you say so.
Das war allein meine Schuld.	That was totally my fault.
Dieses Kleid passt dir gut.	This dress fits you well.
Sie sieht immer blass aus.	She always looks pale.
Warum mag sie mich nicht?	Why doesn't she like me?
Er sprang ins Wasser.	He jumped into the water.
Das wissen Sie doch!	But you know that!
Er hat dich nicht verdient.	He's not worthy of you.
Ich wohne auf dem Land.	I live in the country.
Was würde dein Vater denken?	What would your father think?
Ich mache euch ein Angebot.	I've got a proposition for you.
Sie hörte auf zu reden.	She stopped talking.
Sie sollten kommen.	You should come.
Wie heißt der Fluss?	What is the name of this river?
Er hat dir vertraut.	He trusted you.
Bitte macht euch keine Mühe.	Please don't bother.
Er wohnt bei seiner Mutter.	He lives with his mom.
Wegen dir sind wir zu spät.	We're late because of you.
Ich habe immer noch Hunger.	I'm still hungry.
Was für eine schöne Stadt!	What a beautiful town!
Er rief so laut er konnte.	He shouted at the top of his voice.
Ich nehme alles zurück.	I stand corrected.
Hast du Lust zu essen?	Do you feel like eating?
Er starrte sie an.	He was staring at her.
Ich komme mit ihm nicht klar.	I don't get along with him.
Ich schlafe nicht so viel.	I don't sleep so much.
Wer lebt in diesem Haus?	Who lives in that house?
Das bedeutet nichts Gutes.	That does not bode well.
Ich bin kein Schüler.	I'm not a student.
Er liebt eine andere.	He's in love with another woman.
Er hat nichts getan.	He hasn't done anything.
Zieht euch bitte an.	Please get dressed.
Bist du neu hier?	Are you new here?
Ich bin jetzt dreißig.	I am 30 years old now.
Mir tränen die Augen.	My eyes are watering.
Der Junge küsste das Mädchen.	The boy kissed the girl.
Ich muss zurück nach Boston.	I need to go back to Boston.
Er kann nicht mehr laufen.	He can't walk any more.
Sie fragte ihn, wo er lebte.	She asked him where he lived.
Sie trinkt keinen Kaffee.	She doesn't drink coffee.
Er fuhr mich nach Hause.	He gave me a ride home.
Wenn es nur wahr wäre!	If only that were true!
Stehe ich dir im Weg?	Am I in your way?
Ja, finde ich auch.	Yes, I think so too.
Wer wohnt in diesem Haus?	Who lives in this house?
Ich hätte gerne ein Eis.	I'd like some ice cream.
Ich war damals zu Hause.	I was at home then.
Ich hoffe, du weißt das.	I hope you know that.
Ich lese diesen Satz.	I am reading this sentence.
Ruft ihn jetzt nicht.	Don't call him now.
Wir müssen zur Schule gehen.	We must go to school.
Ich verlasse mich auf euch.	I'm depending on you.
Ich hätte gern dein Alter.	I'd love to be your age.
Wirst du auf mich warten?	Will you wait for me?
Es sah zuerst größer aus.	At first sight, it seemed larger to me.
Nein, er mag kein Wasser!	No. He doesn't like water!
Seid ihr krank?	Are you sick?
Komme bitte gleich zurück.	Please come back at once.
Es wird langsam Zeit.	It's about time.
Ich helfe dir gerne.	I will gladly help you.
Sie schrie ihn an.	She yelled at him.
Die Sonne scheint am Himmel.	The sun is shining in the sky.
Kann ich den Arzt sprechen?	Can I speak to the doctor?
Er redet, als wäre er reich.	He talks as if he were rich.
Sprichst Du zu deinem Hund?	Do you talk to your dog?
Guten Tag, was wollen Sie?	Good day. What do you want?
