active	aktiv<br>aktiver<br>am aktivsten 
social	sozial<br>sozialer<br>am sozialsten 
strong	stark<br>stärker<br>am stärksten 
sudden	plötzlich<br>schlagartig<br>unvermittelt 
technical	technisch Keine Steigerung 
the same [identical]	derselbe <br>dieselbe <br>dasselbe Das ist derselbe Kongress [M]<br>Das ist dieselbe Institution [F]<br>Das ist dasselbe Gremium [N] <br>Das sind dieselben Leute [Pl]<br><br>Auf demselben Kongress [M]...<br>Auf dieselbe Institution [F]...<br>Auf dasselbe Gremium [N]... 
tired	müde<br>müder<br>am müdesten 
unknown	unbekannt<br>unbekannter<br>am unbekanntesten 
useful	nützlich<br>nützlicher<br>am nützlichsten 
visible	sichtbar<br>sichtbarer<br>am sichtbarsten 
Flags...<br><br>UK, USA, France <br>red <br>white <br>blue <br><br>Germany<br>black <br>red <br>gold 	Pfannen...<br><br>UK, USA, Frankreich <br>rot <br>weiß <br>blau <br><br>Deutschland <br>schwarz <br>rot <br>gold 
whole, entire, total	ganz, gesamt 
yellow	gelb<br>gelber<br>am gelbsten 
young	jung<br>jünger<br>am jüngsten 
young <br>youthful<br>juvenile <br>teenage	jugendlich<br>jungendlicher<br>am jugendlichsten 
definitely, <br>abolutely	definitiv <br>absolut <br>durchaus Das ist durchaus möglich. 
above, upstairs	oben 
actually, properly speaking	eigentlich 
after it, afterwards	danach 
on that, <br>about that	darauf Liegst du gut darauf?<br>Ich freue mich sehr darauf. 
again	wieder 
almost, nearly	fast fast wie neu = almost new 
alone	allein Er ist alleine. 
already	bereits, schon 
also, likewise	auch 
always	immer 
at any time, <br>always	jederzeit Du kannst mich jederzeit anrufen. 
this way, <br>as far as here	hierher Bis hierher und nicht weiter! 
as far as	soweit Soweit ich gehört habe, .... 
preferably	möglichst <br>vorzugsweise <br>liebe Du solltest dich möglichst zurückhalten. 
at first	zuerst 
at it/that, about that <br><br>Don't think about that any more. 	daran Denk nicht mehr daran ! 
little, few	wenig<br>weniger<br>am wenigsten 
at once, immediately	sofort 
at the latest	spätestens 
away, off, gone	weg 
back [return]	zurück 
by, at, near	bei Er ist bei diesem Haus 
voluntarily, <br>freely 	freiwillig 
before 	vorher, zuvor 
behind, in the rear	hinten 
below, downstairs	unten 
thereby <br>as well <br>at the same time	dabei Wenn du schon dabei bist... 
these days	heutzutage 
ph: We would like some water	Wir hätten gerne Wasser 
by the way, <br>incidently 	übrigens, <br>außerdem 
different 	verschieden<br>unterschiedlich<br>anders Es geht nicht anders. 
indeed	zwar, <br>sogar Gestern habe ich zehn Stunden gearbeitet und heute sogar zwölf! 
everywhere	überall 
exactly the same	genauso 
finally, at last	endlich <br>schließlich <br>zuletzt 
for it, for that	dafür 
furthermore <br>continue doing	weiterhin 
Get out ! Beat it ! <br>Out with it ! 	Raus ! Raus aus dem Bett mit dir! <br>Raus mit der Sprache, was ist los? 
the marriage	die Ehe -n <br>die Heirat -en 
gladly, willingly, with pleasure 	gern Wir hätten gerne Wasser = We would like some water.<br>Ich esse gern Pizza. 
the footprint	der Fußabdruck -drücke 
here	hier, her Schon ein Jahr hier 
herewith	hiermit 
ph: Are you ready for this?	Bist du hierzu bereit? 
if at all	überhaupt 
besides	außerdem 
to this, <br>for this, <br>on this 	hierzu Hierzu sollte man Rotwein trinken. <br>Ich möchte Sie hierzu beglückwünschen. 
in front	vorn Ich möchte vorn sitzen. 
in front, <br>in advance	voraus Du müsst im voraus bezahlen 
in it	drin 
in order to <br>with it	damit 
indeed, <br>but	allerdings Das Essen war gut, allerdings sehr teuer. 
inside, outside	innen, außen <br>drinnen, draußen Die Tür geht nach innen/außen auf. <br>Drinnen ist es warm, draußen ist es kalt. <br>Es ist drinnen/draußen. 
ph: It's my turn. 	Ich bin dran. 
just now	soeben Ich bin soeben angekommen 
likewise	ebenfalls 
mostly 	meistens Meistens bezahle ich. 
naturally, of course	natürlich 
either <br>neither	entweder <br>weder Er ist weder groß noch klein. 
never-the-less, despite	trotzdem Die Sonne schien, aber trotzdem war es kalt. 
at least	mindestens<br>wenigstens 
now	jetzt 
now, well	nun 
on the way	unterwegs 
once,<br>twice,<br>thrice,<br>four times, <br>etc.	einmal, <br>zweimal, <br>dreimal, <br>viermal, <br>fünfmal, <br>usw. 
once more	nochmals 
only, merely	nur 
otherwise	sonst, ansonsten <br>andereseits Du bist sonst nicht so empfindlich. 
out with you	hinaus 
about it	darüber Wir haben den Bericht gelesen und uns dann darüber (&#8776; über den Bericht) unterhalten. 
over there	dort 
past<br><br>Too late - it is passed !	vorbei Zu spät - es ist vorbei ! 
perhaps, maybe	vielleicht 
recently	neulich, jüngst, kurzlich, letztens 
so far, <br>up till now 	bisher <br>bislang Bisher haben wir das immer so gemacht. [= up until now... ] 
so, <br>thus, <br>like this	so Das machst du gut so!<br>Mir ist das so egal! 
somehow	irgendwie 
the hedgehog	die Egel " 
about, <br>somewhat, <br>roughly 	etwa, <br>ungefähr 
soon, shortly	bald 
still, yet, one more	noch 
ph: to the best of one's ability	nach bestem Vermögen [capability]<br>nach bestem Wissen [knowledge] Ich habe das nach bestem Wissen gemacht. 
then, at that time	damals Damals gab es noch kein Internet. 
then, <br>in that case	dann 
instinctive	instinktiv 
so, <br>therefore, <br>there you are	also Ich denke, also bin ich - Descartes 
everything	alles 
from that, thereof	davon Wir haben davon gesprochen. 
including	inklusive<br>einschließlich ...einschließlich mir ! <br>Dies wäre der Preis einschließlich (der) Mehrwertsteuer. [Gen] 
consequently	daraufhin 
today	heute 
together	zusammen<br>gemeinsam 
well, <br>supposedly, <br>probably 	wohl Ich fühle mich nicht wohl.<br>Das kann man wohl sagen! 
why	warum, wieso, weshalb, wozu, wofür 
yesterday	gestern 
yet, still, nevertheless <br><br>He is poor and still/nevertheless happy	dennoch Er ist arm und dennoch glücklich.<br> 
the bear 	der Bär -en Weak noun...<br>Singular = den/dem/des Bären 
the plant, equipment, facility 	die Anlage -n 
the share [stock market]	die Aktie -n Wie stehen die Aktien? 
the button, key [keyboard]	die Taste -n 
the cable, <br>wire 	das Kabel " <br>der Draht Drähte 
the calculator	der Rechner " 
the camera	die Kamera -s 
the communication	die Kommunikation -en 
the computer	der Computer " 
the database	die Datenbank -en 
the email	die Email -s 
the handwriting, font	die Schrift -en 
the internet	das Internet -- 
the key word, <br>password	das Kennwort -wörter 
the keyboard	die Tastatur -en 
the loud speaker	der Lautsprecher " 
the magazine	das Magazin -edie Zeitschrift -en das Journal -e die Illustrierte -n 
the appearance of ...	das Aussehen --<br>der Anschein -- 
the mobile/cell phone	das Handy -s 
the monitor, <br>screen 	der Monitor -en 
the mouse	die Maus Mäuse 
the network	das Netz -e 
the news, <br>message 	die Nachricht -en 
the newspaper	die Zeitung -en 
the note [on a piece of paper]	der Zettel " <br>die Notiz -en 
the data [information]	die Daten [Pl. only] 
the number [1,2,3...]	die Nummer -n<br> die Zahl -en 
the paper	das Papier -e 
the phone, telephone,	das Telefon -e 
the photography, <br>photo, <br>photographer	die Fotografie -n <br>das Foto -s <br>der Fotograf -en <br>die Fotografin -nen 
the post, mail, <br>post office 	die Post " <br>das Postamt -ämte 
the press [newspapers]	die Presse -n 
the screen	der Schirm -e 
the side, page	die Seite -n 
the television broadcast, <br>the television set	das Fernsehen --<br>der Fernseher " Ich schaue Fern ! <br>Was gibt es heute in Fernsehen ? 
the stool 	der Hocker " Dat.pl: -n 
the broadcast, <br>program, <br>transmission	die Sendung -en 
the transmitter	der Sender " 
the art	die Kunst Künste NOTE: der Künstler [mit Umlaut] 
the church	die Kirche -n 
the cinema	das Kino -s 
the concert	das Konzert -e 
the dance	der Tanz Tänze 
the event	die Veranstaltung -en <br>das Ereignis -se 
the film, <br>movie 	der Film -e 
the fun	der Spaß Späße 
the game, match, <br>computer game	das Spiel -e <br>die Partie -n<br>das Computerspiel -e 
the instrument	das Instrument -e Dat.pl: -en 
the jazz	der Jazz " 
the literature	die Literatur -en 
the museum	das Museum Museen 
the music, <br>pop/folk/classical 	die Musik -en Pop/Volks/klassische 
the musician	der Musiker "<br>die Musikerin -nen 
the note [music]<br>grade, exam mark.	die Note -n [music, exam result] 
the public, audience	das Publikum -- 
the radio	das Radio -s <br>der Rundfunk -- 
the religion	die Religion -en 
the show	die Schau -en 
the song	das Lied -er 
the studio	das Studio -s 
the theatre	das Theater " 
the toy	das Spielzeug "/-e NOTE: variation of plural...<br />Der Laden verkauft Spielzeug = ...sells toys.<br />Der Ingenieur baut Spielzeuge = ...builds toys. 
the apple	der Apfel Äpfel Dat.pl: -n 
the bakery	die Bäckerei -n 
the bottle	die Flasche -n 
the bowl	die Schüssel -n 
the bread	das Brot -e das Weißbrot -edas Graubrot -e 
the bread roll	das Brötchen " 
the breakfast	das Frühstück -e 
the butter	die Butter " 
the cheese	der Käse " 
the chocolate	die Schokolade -n die Praline -n 
the coffee, <br>coffee can/pot	der Kaffee -s <br>die Kaffeekanne -n 
the cola	die Cola -s 
the cook, chef <br>	der Koch Köche <br>die Kochin -nen 
the crockery, dishes	das Geschirr -e 
the cup, <br>mug	die Tasse -n<br>der Becher " 
the drink	das Getränk -e 
the egg, <br>a boiled egg 	das Ei -er <br>ein gekocktes Ei 
the food, meal	das Essen " <br>die Mahlzeit -en <br>das Lebensmittel " <br>die Verpflegung -en <br>die Ernährung -en 
the fruit	das Obst --<br>die Frucht Früchte 
the glass	das Glas Gläser 
the juice, <br>orange juice, <br>fruit juice 	der Saft Säfte <br>der Organgensaft -säfte <br>der Fruchtsaft -säfte 
the knife, <br>fork, <br>spoon 	das Messer " <br>die Gabel -n <br>der Löffel " 
the lemon	die Zitrone -n 
the marmalade, <br>jam [breakfast]	die Marmelade -n 
the meat, <br>beef, <br>veal, <br>pork, <br>lamb 	das Fleisch " <br>das Rindfleisch " <br>das Kalbfleisch " <br>das Schweinefleisch " <br>das Lammfleisch " 
the menu	die Speisekarte -n <br>das Menü -s 
the milk	die Milch -e 
the noodle, pasta	die Nudel -n 
the nutrition	die Ernährung -- 
the orange	die Orange -n <br>die Apfelsine -n 
ph: Who does he think he is?	Was bildet er sich ein? 
the plate	der Teller " 
the pot	der Topf Töpfe 
the potato	die Kartoffel -n 
the restaurant	das Restaurant -s<br>die Gaststätte -n 
the rice	der Reis -- 
the roast	der Braten " 
the salad, potato salad, lettuce salad	der Salat -e der Kartoffelsalat -e der Kopfsalat -e 
the salt, pepper	das Salz -e<br>der Pfeffer -- 
the sauce	die Soße -n 
the sausage, <br>cooked sausage, <br>fried sausage 	die Wurst Würste <br>die Bockwurst -würste <br>die Bratwurst -würste 
the soup, <br>broth 	die Suppe -n<br>die Brühe -n 
the sugar	der Zucker " 
the tea	der Tee -s 
the tomato	die Tomate -n 
the vegetable(s)	das Gemüse -- 
the vegetarian	der Vegetarier " 
the wine (white-, red-)	der Wein -e der Weißwein -e der Rotwein -e 
the association	der Verband -bände<br>der Bund Bünde 
the customs	der Zoll Zölle 
the directorship [of film] <br>director	die Regie -n <br>der Regisseur -e 
the election	die Wahl -en 
the government	die Regierung -en 
the judge	der Richter " 
the judgement <br>verdict 	das Urteil -e 
the lawyer, attorney	der Rechtsanwalt -wälte 
the ministry	das Ministerium -rien 
the reign	die Herrschaft -en Ein König/ein Diktator herrscht über das Volk.<br>Heutzutage herrscht nur das Geld. 
the party [political, celebration]	die Partei -en [polit.]<br>die Party -s [celeb.] <br>die Feier -n [celeb.] 
the politics [pl]	die Politik -en die Politik [sing] = the politics 
the president	der Präsident -en Weak noun...<br>Singular = den/dem/des Presidenten 
the discipline 	die Disziplin -en 
the rule, regulation	die Regel -n <br>die Bestimmung -en <br>die Vorschrift -en 
the republic	die Republik -en 
the revolution	die Revolution -en 
the address	die Adresse -n 
the apartment	die Wohnung -en 
the balcony	der Balkon -s 
the bed	das Bett -en 
the bed sheets & covers	der Bettbezug -züge 
the building	das Gebäude " 
the cheek	die Wange -n<br>die Backe -n 
the cake, baking	der Kuchen "<br>die Torte -n 
the cellar, basement	der Keller " 
the city centre / center	das Zentrum Zentren<br>die Stadtmitte -n 
the cleaning	die Reinigung -en 
the cutlery [knife, fork, spoon, chopsticks]	das Besteck -e 
the door	die Tür -en 
the farmer	der Bauer -n <br>die Bäuerin -nen Weak noun...<br>Singular = den/dem/des Bauen 
the fence	der Zaun Zäune 
the fire	das Feuer " <br>der Brand Brände 
the fire department, <br>fireman 	die Feuerwehr -en <br>der Feuerwehrmann -männer 
the furniture	die Möbel " 
the garden	der Garten Gärten 
the gas	das Gas -e 
the gate, goal	das Tor -e 
the heater	die Heizung -en 
the house, <br>standalone/detached house, <br>terraced house 	das Haus Häuser <br>das Einfamilienhaus -häuser <br>das Reihenhaus -häuser 
the household	der Haushalt -e 
the inside, interior	das Innere -n 
the key	der Schlüssel " 
the kitchen	die Küche -n 
the lamp	die Lampe -n 
the leather	das Leder " 
the light	das Licht -er 
the location, <br>position, <br>place 	die Stelle -n <br>die Lage -n <br>der Standort -e 
the mirror	der Spiegel " 
the path	der Weg -e <br>der Pfad -e 
the picture	das Bild -er 
the cushion, <br>pillow, <br>pillowcase	das Kissen -s <br>das Kopfkissen -s <br>der Kopfkissenbezug -züge 
the place	der Platz Plätze <br>der Ort -e 
the power socket [elec.]	die Steckdose -n 
the roof	das Dach Dächer 
the room, <br>dining room, <br>lounge/living room, <br>bedroom	der Raum Räume <br>das Zimmer " <br>das Esszimmer " <br>das Wohnzimmer " <br>das Schlafzimmer " 
the scissors	die Schere -n 
the sofa	das Sofa -s 
the stairs, stairway, staircase 	die Treppe -n 
the street, <br>road 	die Straße -n 
the stuff	der Stoff -e<br>das Zeug -e 
the surrounding, neighbourhood	die Umgebung -en<br>die Nachbarschaft -en 
the table	der Tisch -e Es ist/steht/liegt auf dem Tisch 
the tenent, lessee	der Mieter " 
the toilet, <br>-paper, <br>-brush, <br>-lid	die Toilette -n<br>das Klo -s [Wasserkloset]<br><br>das Klopapier -e<br>die Klobürste -n <br>der Klodeckel " 
the town	der Ort -e 
the village	das Dorf Dörfer 
the wall	die Wand Wände<br>die Mauer -n 
the window	das Fenster " Ich schaute aus dem Fenster. 
the academy	die Akademie -n 
the approach, attempt	der Ansatz -sätze 
the biology	die Biologie -n 
the book	das Buch Bücher 
the chemistry	die Chemie -- 
the class	die Klasse -n 
the conclusion, end, <br>successful school/uni graduation 	der Schluß -lüsse<br>der Abschluss -lüsse 
the definition	die Definition -en 
the apprenticeship, <br>apprentice	die Lehre -n<br>der Lehrling -e<br>AZUBI = AusZuBildene 
the institute <br>institution	das Institut -e <br>die Anstalt -en 
the instruction, <br><br>I don't like being told what to do ! 	die Vorschrift -en Sie mag keine Vorschriften ! 
the knowledge, <br>skill	das Wissen --<br> die Kenntnis -se 
the lesson, <br>class, <br>tuition, <br>teaching 	die Lektion -en <br>der Unterricht -- 
the mathematics	die Mathematik -- 
the philosophy	die Philosophie -n 
the physics	die Physik -- 
the professor	der Professor -en<br>die Professorin -nin 
the qualification	die Qualifikation -en 
the research	die Forschung -en 
the school, <br>primary school, <br>secondary school, <br>secondary technical school, <br>technical school 	die Schule -n <br>die Grundschule -n <br>die Hauptschule -n <br>die Realschule -n <br>die Berufsschule -n 
the science	die Wissenschaft -en 
indifferent	egal<br>gleichgültig Das ist mir egal = I don't care. 
the seminar	das Seminar -e 
the external appearance	das Äußere -- 
the student, pupil	der Student -en<br>die Studentin -nen<br><br>der Schüler " <br>die Schülerin -nen der Student is weak noun...<br>Male Singular = den/dem/des Studenten 
the study	die Studie -n <br>das Studium -ien 
the encouragement, suggestion	die Ermutigung -en<br>die Anregung -en 
the teacher	der Lehrer "<br>die Lehrerin -nen 
the test	die Prüfung -en <br>der Test -s <br>die Klassenarbeit -- 
the theory	die Theorie -n 
the university	die Universität -en die Uni -s 
the university study 	das Studium -ien 
the intern [medical work experience], <br>the internship	der Praktikant -en, die Praktikantin -nen, <br>das Praktikum Praktika 
the basis, <br>grass roots	die Basis Basen 
the calendar	der Kalender " 
the case, event, trap/pitfall 	der Fall Fälle 
the case [grammar]	der Fall Fälle<br>der Kasus " Nominativ Wer- oder Was-fall = subject .<br>Akkusativ Wen- oder Was-fall = direct object <br>Dativ Wem-fall = direct/indirect object <br>Genitiv Wes-fall = whose, possession 
the centre, center	die Mitte -n<br> die Zentrale -n<br>das Zentrum Zentren 
the century	das Jahrhundert -e 
the change	die Änderung -en, die Veränderung -en<br /> der Wechsel "<br /> der Wandel -- 
the christmas <br><br>Merry christmas, and a happy new year.	das Weihnachten Fröhliche Weihnachten, und ein gutes neues Jahr ! <br>Frohes neues Jahr ! 
the colour, paint	die Farbe -n 
the crack, <br>column in a newspaper	die Spalte -n 
the comparison	der Vergleich -e<br>die Gegenüberstellung -en 
the condition	die Bedingung -en<br>die Kondition -en 
the contents	der Inhalt -e Dat.pl: -en 
the context, <br>connection, <br>hang together	der Kontext -e<br>der Zusammenhang -hänge Aus dem Kontext gerissen ist die Äußerung missverständlich.<br>Was ist der Zusammenhang? 
the criteria	das Kriterium -rien 
the day	der Tag -e Dat.pl: -en Montag <br>Dienstag <br>Mittwoch <br>Donnerstag <br>Freitag <br>Samstag Sonnabend<br>Sonntag <br><br>Wir arbeiten an Werktagen 
the degree	der Grad -e 
the depth	die Tiefe -n 
the description	die Beschreibung -en 
the designation, marking, expression	die Bezeichnung -en 
the detail	die Einzelheit -en <br>das Detail -s Ich weiß die Details nicht. 
the difference	der Unterschied -e <br>die Differenz -en 
the district, county	der Bezirk -e <br>der Landkreis -e 
the effect	die Wirkung -en <br>der Effekt -- 
the electricity, <br>current 	die Elektrizität --<br>der Strom -öme 
the element	das Element -e 
the end	das Ende -n 
the establishment	die Gründung -en 
the example, specimen	das Beispiel -e <br>das Exemplar -e <br>das Vorbild -er 
the feature <br>characteristic 	das Merkmal -e 
the figure [shape]	die Figur -en 
the foundation, basis/basics	die Grundlage -n Diese Grundlagen (basics) sind gut 
the frame	der Rahmen " 
the gallery	die Galarie -n 
the collection, gathering	die Sammlung -en 
the gender <br><br>male, female, neuter, <br>masculine, feminine, neuter	das Geschlecht -er<br>das Genus Genera männlich, weiblich, sächlich,<br>maskulin, feminin, neutrum 
the guitar	die Gitarre -n 
to accept	akzeptieren 
the hour	die Stunde -n 
the improvement	die Verbesserung -en 
the level	die Ebene -n 
the line	die Linie -n <br>die Leitung -en <br>der Strich -e 
the litre	der Liter " 
the meaning	die Bedeutung -en 
the measurement	das Maß -e 
the method	die Methode -n 
the minute	die Minute -n 
the moment	der Moment -e<br>der Augenblick -e 
the month	der Monat -e Dat.pl: -en Januar <br>Februar <br>März <br>April <br>Mai <br>Juni <br>Juli <br>August <br>September <br>Oktober <br>November<br>Dezember 
the need	der Bedarf -e<br>die Not Nöte 
the niveau	das Niveau -s 
the occasion, time	der Anlass -lässe<br>das Mal -e Nächstes Mal bist du bitte pünktlich! 
the opposite, contrast	das Gegenteil -e<br>der Gegensatz -sätze 
the origin, source 	die Herkunft -künfte <br>die Quelle -n <br>der Ursprung Ursprünge 
the overview	die Übersicht -en <br>der Überblick -e 
the packet, <br>package	das Paket -en 
the pair, <br>couple	das Paar -e 
the pen	der Stift -e Dat.pl: -en 
the phase	die Phase -n 
the piece, item	das Stück Stücke 
the plastic	der Kunststoff -e 
the full stop, period <br>point, dot 	der Punkt -e 
the preparation	die Vorbereitung -en 
the profile	das Profil -e 
the programme [Brit] <br>program [USA] 	das Programm -e 
the quantity	die Menge -n 
the quiet, calm, privacy	die Ruhe -- 
the register	das Verzeichnis -se 
the ring	der Ring -e 
the risk	das Risiko Risiken <br>das Wagnis -se 
the row [...of chairs]	die Reihe -n 
the scope, extent, perimeter	der Umfang -fänge 
the search	die Suche -n 
the season	die Saison -s <br>die Jahreszeit -en der Sommer <br>der Herbst <br>der Winter <br>der Frühling 
the second [unit of time]	die Sekunde -n 
the section	der Abschnitt -e<br> die Rubrik -en 
the sentence, clause	der Satz Sätze 
the series [e.g. TV series]	die Serie -n 
the sign	das Zeichen "<br>der Schild -er 
the situation 	die Situation -en <br>die Lage -n <br>der Umstand -stände 
the size	die Größe -n 
the cucumber	die Gurke -n 
the speciality	die Spezialität -en 
the specific time, <br>point in time	der Zeitpunkt -e 
the state/condition of s.t. or s.o.	der Zustand -stände 
the state, country	der Staat -en 
the statistic	die Statistik -en 
the step	der Schritt -e <br>die Stufe -n 
the structure	die Struktur -en 
the style	der Stil -e 
the surface	die Oberfläche -n 
the symbol	das Symbol -e 
the temperature	die Temperatur -en 
the text	der Text -e 
the theme, subject, issue, topic	das Thema Themen 
the thing	die Sache -n <br>das Ding -e 
the time	die Zeit -en Die guten alten Zeiten - the good old days 
the process, procedure <br>trial	der Prozess -e<br>das Verfahren -s 
the tone, <br>sound 	der Ton -e Or Töne <br>der Klang Klänge Das gehört einfach zum guten Ton. 
the usage	der Gebrauch -bräuche <br>die Nutzung -en <br>die Anwendung -en 
the variable	die Variable -n 
the version	die Version -en 
the war	der Krieg -e 
the week	die Woche -n 
the word	das Wort Pl: Worte/Wörter Dat.pl: -en 
the year	das Jahr -e Dat.pl: -en 
the account [bank]	das Konto -en 
the amount [money]	der Betrag -äge 
the bank, <br>bench	die Bank Bänke Ich gehe zur Bank <br>Ich bin in der Bank <br>Sie arbeitet bei der Bank <br>Mein Geld liegt auf der Bank 
the cent	der Cent -- 
the checkout, <br>cash register	die Kasse -n 
the cheque/check, <br>checkbook 	der Scheck -s <br>das Scheckheft -e 
the coin	die Münze -n 
the course [direction], <br>course [education], <br>currency exchange rate	der Kurs -e 
the credit	der Kredit -e 
the economy, <br>economic state	die Wirtschaft -en <br>die Konjunktur -en 
the finance	die Finanzierung -en 
the gold	das Gold " 
the interest [bank]	der Zins -en 
the invoice, bill	die Rechnung -en 
the loss	der Verlust -e 
the money	das Geld -er 
the note, banknote	der Schein -e 
the payment	die Zahlung -en <br>die Bezahlung -en 
the fan, ventilator	der Ventilator -en 
the profit [business]	der Gewinn -e <br>der Profit -e 
the stock exchange	die Börse -n 
the shopping trolly, cart	der Einkaufswagen " 
the value	der Wert -e 
the air	die Luft Lüfte 
the animal	das Tier -e 
the atmosphere	die Atmosphäre -n 
the berry	die Beere -n 
the bird	der Vogel Vögel 
the cat	die Katze -n 
the cliff	der Hang Hänge<br>der Felsen " <br>die Klippe -n 
the climate	das Klima -s 
the cow	die Kuh Kühe ...wie eine Kuh auf der Weide 
the deer	das Reh -e 
the dog	der Hund -e 
the duck [quack]	die Ente -n 
the earth [planet], <br>soil	die Erde -- 
the energy	die Energie -n 
the evening	der Abend -e 
the existence	die Existenz -en <br>das Dasein -- 
to argue	streiten<br>argumentieren <br>zanken 
the field, <br>meadow	das Feld -e [arable] <br>der Acker Äcker [arable] <br>die Wiese -n 
