nämlich	that is to say; videlicet; viz
ob	if; whether
oder	or
oft	frequently; en
paradies	paradise
plötzlich	abrupt; sudden; suddenly
rand	surrounding
reden	monologues; orations; sayings; speeches
reihe	array; bank; column; file; line; line-up; rank; row; sequence; series; set; tier
richtige	right one
roten	redden
runde	beat; bout; round
runtergeht	goes down
sagte	said
sah	saw
sahen	saw
satt	Fed up
saß	sat
saßen	sassen
schal	scarf; shawl
scheuerte	scrubbed
schob	pushed
schon	already
schuhe	shoes
schön	beautiful; beautifully; fine; goodly; pulchritudinous
schönste	fairest; most beautiful; shapeliest
schütellte	
sehen	to behold; to look (at, on); to see; to see how the wind blows; to see {saw, seen}; to spot; to view
seine	sein(e) its
seinem	his
seiner	his
selbstverständlich	to be sure
setzte	sat
sich	each other
sicher	assuredly; certain; certainly; easily; for sure; prof; proof; safe; safely; secure; securely; sure; surely; unendangered; unharmful; unmistaken
sie	they
sieben	seven; to riddle; to sieve; to sift
sieht	sees; views
sind	are
so	as; ; that way; thus
sonne	sun
sonst	else; or else; otherwise
spät	late
stand	booth; class; level; profession; stall; ; ing position; state
stehen	to stand; to become {became, become}
stehengeblieben	stopped
steht	stands
stellen	locations; placement; steads
still	calm; hush; mum; mumly; quiet; quietly; silent; silently; ; tacit
suchte	prospected; quested; sought
tat	act; action; deed; feats
teller	plate
telleruhr	adjusting ruhr
tellerweiße	plate white
trug	shouldered; sustained; toted; wore
tun	doing; to do; to do {did, done}
tupfte	dabbed
tür	door
uhr	clock; ticker; timepiece; watch
uhren	tickers; timepieces; watches
um	about
und	and
unsere	ours
unterlippe	lower lip
verlegen	to mislay; to misplace
verloren	doomed; gone; irrecoverable; lost
vier	four
viertel	fourth; quarter
von	by; from; of; off
vor	pre; previous
vorsichtigen	circumspectly
wahr	intrinsic; true; truthful
war	was
waren	commodities; goods; wares
warm	hot; thermal; ; ly
was	what
weg	alley; lane; path; road; way
weggenommen	taken away
wegsetzen	put down
weil	as; because; since; that
weitem	far
weiter	along; continues; continuing; farther; from afar; further; more; onward; proceed; resume; wider
weiß	knows; whitely
weißblaue	white and blue
weißem	white
wenn	I shouldnt be at all surprised if; if; unless; what if; wheather; when; whensoever
wert	account; sign; ups; value; virtue; worth; worthiness
wichtig	big; important; importantly; importent; momentous; momentously; necessary; relevant; vitally; weightily; weighty
wie	how?; what
wieder	afresh; again; against
wissen	knowledge; veda
witz	gag; joke; quip; wit; witticism
wohl	to be sure; well
wolljacke	cardigan
wort	mot; vocable; word
wurde	became; was; were
zahlen	numbers
zeiger	hand; index; locator; pointer; pointers
zeigte	showed
zimmer	chamber; room
zog	drew; hauled; pulled
zu	at; for; to; too; toward; towards; unto
zukommen	get
zum	to the
zwanzig	twenty
überhaupt	at all; generally
übrig	left over; spare
